Census_Tract,FIPS ,CITYNAME,Service_Area,Male,Female,White,African_American,Native_ American,Asian,Pacific Islander,Other,Multi-Race,Latino,Total_Population,GEOID,Tract,Tract Number,Neighborhood,Location,Latitude,Longitude
101110,44000,Los Angeles city - Tujunga,2,2471,2439,2702,73,13,515,4,34,157,1412,4910,1400000US06037101110,"Census Tract 1011.10, Los Angeles County, California",101110,Tujunga,"(34.2595555, -118.293602)",34.2595555,-118.293602
101122,44000,Los Angeles city - Tujunga,2,1873,1959,2516,27,4,533,1,10,130,611,3832,1400000US06037101122,"Census Tract 1011.22, Los Angeles County, California",101122,Tujunga,"(34.267357, -118.29024)",34.267357000000004,-118.29024
101210,44000,Los Angeles city - Tujunga,2,3341,3230,3050,185,6,492,4,5,238,2591,6571,1400000US06037101210,"Census Tract 1012.10, Los Angeles County, California",101210,Tujunga,"(34.251998, -118.2926875)",34.251998,-118.2926875
101220,44000,Los Angeles city - Tujunga,2,1738,1788,1690,36,10,286,1,4,112,1387,3526,1400000US06037101220,"Census Tract 1012.20, Los Angeles County, California",101220,Tujunga,"(34.2511895, -118.281014)",34.2511895,-118.28101399999998
101300,44000,Los Angeles city - Tujunga,2,2035,2200,3172,41,5,328,3,6,158,522,4235,1400000US06037101300,"Census Tract 1013, Los Angeles County, California",101300,Tujunga,"(34.2455945, -118.271731)",34.2455945,-118.271731
101400,44000,Los Angeles city - Tujunga,2,2009,1980,2644,49,7,359,0,7,149,774,3989,1400000US06037101400,"Census Tract 1014, Los Angeles County, California",101400,Tujunga,"(34.244255, -118.296428)",34.244254999999995,-118.296428
102103,44000,Los Angeles city - Sun Valley,2,900,923,1157,23,2,171,3,0,71,396,1823,1400000US06037102103,"Census Tract 1021.03, Los Angeles County, California",102103,Shadow Hills,"(34.224155, -118.354339)",34.224154999999996,-118.354339
102104,44000,Los Angeles city - Sun Valley,2,1828,1986,2537,87,3,494,3,7,122,561,3814,1400000US06037102104,"Census Tract 1021.04, Los Angeles County, California",102104,Shadow Hills,"(34.216189, -118.3456235)",34.216189,-118.34562350000002
980005,80000,Torrance city,8,0,0,0,0,0,0,0,0,0,0,0,1400000US06037980005,"Census Tract 9800.05, Los Angeles County, California",980005,Torrance,"(33.852811, -118.3306995)",33.852810999999996,-118.33069950000001
102105,44000,Los Angeles city - Sun Valley,2,936,901,410,15,2,149,0,4,34,1223,1837,1400000US06037102105,"Census Tract 1021.05, Los Angeles County, California",102105,Sun Valley,"(34.210852, -118.3480495)",34.210852,-118.34804950000002
102107,44000,Los Angeles city - Sun Valley,2,532,618,790,18,1,65,0,8,15,253,1150,1400000US06037102107,"Census Tract 1021.07, Los Angeles County, California",102107,Shadow Hills,"(34.2412955, -118.3292705)",34.2412955,-118.3292705
102107,44000,Los Angeles city - Sunland,2,1225,1399,1455,77,0,209,14,2,33,834,2624,1400000US06037102107,"Census Tract 1021.07, Los Angeles County, California",102107,Shadow Hills,"(34.2412955, -118.3292705)",34.2412955,-118.3292705
103101,44000,Los Angeles city - Sunland,2,1397,1372,1786,18,8,254,3,7,84,609,2769,1400000US06037103101,"Census Tract 1031.01, Los Angeles County, California",103101,Sunland,"(34.274431, -118.30714)",34.274431,-118.30713999999999
